epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7428,2.85349,4.02243,2.96146,0.00333,1,0.07341,0.00867,2.40753,4.72259,3.80738,0,0,0
2,27.6433,2.80223,3.85635,3.03954,0.00333,1,0.09385,0.01093,2.45722,4.78459,3.85136,1.9604e-05,1.9604e-05,1.9604e-05
3,42.2633,2.84182,3.81756,2.89197,0.00333,1,0.09648,0.01132,2.47499,4.72872,3.87715,3.8416e-05,3.8416e-05,3.8416e-05
4,57.4827,2.65828,3.9557,2.74621,0.00333,1,0.11267,0.01413,2.47459,4.58129,3.88993,5.6436e-05,5.6436e-05,5.6436e-05
5,72.7827,2.94481,3.92138,3.1027,0.00333,1,0.01714,0.00437,2.5514,4.57658,3.85634,7.3664e-05,7.3664e-05,7.3664e-05
6,90.7752,2.19541,3.54111,2.3669,0.00333,1,0.01274,0.00266,2.66352,4.48188,3.78063,9.01e-05,9.01e-05,9.01e-05
7,98.6156,2.36635,3.71754,2.36203,0.00333,1,0.00649,0.00185,2.74805,4.42832,3.73215,0.000105744,0.000105744,0.000105744
8,102.51,2.29416,3.49343,2.40604,0.00333,1,0.05321,0.00758,2.72433,4.46783,3.63571,0.000120596,0.000120596,0.000120596
9,106.225,2.29665,3.71355,2.40583,0.00333,1,0.00829,0.00242,2.66435,4.58908,3.51039,0.000134656,0.000134656,0.000134656
10,109.997,2.30581,3.73723,2.40723,0.00333,1,0.25102,0.03201,2.60619,4.76202,3.42109,0.000147924,0.000147924,0.000147924
11,113.918,2.49227,3.3762,2.43905,0.00333,1,0.17888,0.02171,2.54665,4.90931,3.31949,0.0001604,0.0001604,0.0001604
12,117.532,2.13561,3.18057,2.18625,0.00333,1,0.05274,0.00952,2.63993,4.9478,3.28979,0.000172084,0.000172084,0.000172084
13,121.161,2.46021,3.59017,2.19171,0.00333,1,0.08786,0.01108,3.01638,4.57813,3.5063,0.000182976,0.000182976,0.000182976
14,124.691,2.16032,3.08126,2.12256,0.00333,1,0.52966,0.05646,3.23593,4.19305,3.5949,0.000193076,0.000193076,0.000193076
