epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.2846,2.09204,3.11331,2.3811,0.00303,0.90909,0.22111,0.06763,2.03224,3.95804,2.94101,0.00018,0.00018,0.00018
2,69.4903,1.79463,2.80885,2.0254,0.00318,0.95455,0.16087,0.05287,2.06111,3.83193,2.9915,0.000372476,0.000372476,0.000372476
3,104.584,1.64719,2.61043,1.85181,0.00273,0.81818,0.13695,0.04713,2.64725,4.25735,3.3445,0.000557032,0.000557032,0.000557032
4,139.659,1.64449,2.53845,1.88691,0.00121,0.36364,0.09864,0.03767,3.79345,5.45392,4.66068,0.000733668,0.000733668,0.000733668
5,176.511,1.62757,2.45134,1.8052,0.0426,0.22727,0.02222,0.00622,3.82417,4.9398,5.20703,0.000902384,0.000902384,0.000902384
6,211.408,1.71406,2.31654,1.8576,0.00258,0.77273,0.03462,0.0089,2.65191,3.9177,3.60612,0.00106318,0.00106318,0.00106318
7,246.007,1.67303,2.40116,1.84183,0.23881,0.13636,0.11071,0.02322,2.56438,3.93875,3.65058,0.00121606,0.00121606,0.00121606
8,281.726,1.66618,2.32023,1.85437,0.26277,0.18182,0.11644,0.03826,2.56054,4.47008,4.0634,0.00136101,0.00136101,0.00136101
9,317.82,1.6443,2.28148,1.86413,0.05028,0.18182,0.02774,0.00696,2.99539,15.3942,4.93636,0.00149805,0.00149805,0.00149805
10,357.742,1.67166,2.29843,1.9493,0.11761,0.40909,0.08603,0.02671,2.71601,10.6275,4.43679,0.00162716,0.00162716,0.00162716
11,394.775,1.77246,2.38363,1.99844,0.06056,0.22727,0.04097,0.0133,2.99038,4.2614,4.38693,0.001604,0.001604,0.001604
12,430.251,1.75304,2.28978,1.95626,0.26894,0.13636,0.10393,0.0261,3.72047,4.83269,4.38415,0.0015644,0.0015644,0.0015644
13,465.286,1.69428,2.10689,1.89754,0.11667,0.31818,0.112,0.02473,2.55165,3.88762,3.58066,0.0015248,0.0015248,0.0015248
14,501.061,1.70357,2.16175,1.90615,0.34183,0.22727,0.20198,0.04829,2.623,3.37419,3.66667,0.0014852,0.0014852,0.0014852
15,538.213,1.61315,1.97202,1.83971,0.20453,0.36364,0.11415,0.03271,2.58226,3.73752,3.75333,0.0014456,0.0014456,0.0014456
16,573.401,1.60233,1.96089,1.80026,0.5376,0.21258,0.18078,0.06842,2.08544,3.46411,2.8279,0.001406,0.001406,0.001406
17,608.562,1.69358,2.08802,1.88004,0.22488,0.18182,0.13182,0.05208,2.46741,4.55035,3.18992,0.0013664,0.0013664,0.0013664
18,645.022,1.56705,1.84868,1.77107,0.29638,0.40909,0.24744,0.08435,2.74654,3.71822,3.60973,0.0013268,0.0013268,0.0013268
19,681.075,1.63393,1.95771,1.82173,0.45135,0.40909,0.36725,0.08083,2.47372,3.43115,3.19974,0.0012872,0.0012872,0.0012872
20,717.539,1.59032,2.02645,1.86358,0.25754,0.27273,0.15726,0.05117,2.67835,3.86224,3.12563,0.0012476,0.0012476,0.0012476
21,753.086,1.57836,1.87869,1.73557,0.31125,0.41087,0.23957,0.09569,2.65576,3.66868,3.36504,0.001208,0.001208,0.001208
22,789.812,1.5914,1.83692,1.81581,0.30927,0.48868,0.30525,0.09363,2.60779,2.64587,3.27616,0.0011684,0.0011684,0.0011684
23,825.283,1.58175,1.80165,1.77973,0.36544,0.31818,0.25357,0.07649,2.99419,2.37518,3.72529,0.0011288,0.0011288,0.0011288
24,860.251,1.53587,1.79157,1.74143,0.45986,0.54545,0.33965,0.11005,2.65896,2.31184,3.41581,0.0010892,0.0010892,0.0010892
25,895.681,1.5451,1.82203,1.79848,0.4852,0.63636,0.39982,0.11394,2.31583,2.31068,3.00838,0.0010496,0.0010496,0.0010496
26,930.569,1.45949,1.76205,1.72,0.62393,0.5,0.45981,0.13749,2.16776,2.38978,2.95544,0.00101,0.00101,0.00101
27,965.131,1.49167,1.75428,1.74276,0.58577,0.68182,0.46394,0.172,2.13683,2.21887,3.12105,0.0009704,0.0009704,0.0009704
28,1000.81,1.42994,1.64314,1.71911,0.4338,0.63636,0.41722,0.12885,2.46069,2.53636,3.46379,0.0009308,0.0009308,0.0009308
29,1036.79,1.52587,1.74616,1.75021,0.4903,0.40909,0.42277,0.13305,2.39974,2.48433,3.29611,0.0008912,0.0008912,0.0008912
30,1072.41,1.46971,1.59932,1.72234,0.66845,0.54545,0.50424,0.16868,2.30005,2.30234,3.23782,0.0008516,0.0008516,0.0008516
31,1107.53,1.40116,1.60073,1.65779,0.49537,0.59091,0.38784,0.12467,2.21673,2.8471,3.028,0.000812,0.000812,0.000812
32,1143.16,1.4025,1.60168,1.65112,0.60152,0.63636,0.44745,0.13344,2.14754,2.75777,2.92993,0.0007724,0.0007724,0.0007724
33,1179.15,1.45167,1.64014,1.6621,0.6056,0.5,0.46402,0.1627,2.05824,2.59658,2.81534,0.0007328,0.0007328,0.0007328
34,1214.9,1.40507,1.52295,1.61953,0.61496,0.68182,0.54717,0.1775,2.15614,2.1195,2.89255,0.0006932,0.0006932,0.0006932
35,1251.87,1.38548,1.57973,1.68865,0.62425,0.68182,0.54271,0.19558,2.12021,2.04559,2.89736,0.0006536,0.0006536,0.0006536
36,1287.05,1.39579,1.58682,1.60665,0.71309,0.59091,0.54774,0.19045,2.14648,2.14899,2.99925,0.000614,0.000614,0.000614
37,1321.84,1.422,1.5751,1.68888,0.7751,0.62706,0.55264,0.1742,2.20985,2.09213,3.05368,0.0005744,0.0005744,0.0005744
38,1356.67,1.35661,1.56831,1.61349,0.64776,0.68182,0.53659,0.19519,2.22163,2.02718,3.16337,0.0005348,0.0005348,0.0005348
39,1391.78,1.32367,1.45656,1.59324,0.64669,0.68182,0.49821,0.18802,2.27484,1.93207,3.22967,0.0004952,0.0004952,0.0004952
40,1426.67,1.31266,1.45844,1.60017,0.70013,0.63678,0.56988,0.20262,2.29273,1.72827,3.20351,0.0004556,0.0004556,0.0004556
41,1461.08,1.39365,1.79071,1.87103,0.64613,0.63636,0.46883,0.1745,2.42417,1.7272,3.42094,0.000416,0.000416,0.000416
42,1495.27,1.32948,1.62377,1.77653,0.66084,0.63636,0.44714,0.15557,2.51044,1.90357,3.52933,0.0003764,0.0003764,0.0003764
43,1529.75,1.24517,1.49867,1.74504,0.71254,0.67627,0.50999,0.16102,2.52717,1.96674,3.63704,0.0003368,0.0003368,0.0003368
44,1564.4,1.24876,1.52476,1.70499,0.71264,0.67658,0.51256,0.16859,2.56175,1.93093,3.73036,0.0002972,0.0002972,0.0002972
45,1598.98,1.23515,1.5101,1.75822,0.71225,0.67535,0.50466,0.14743,2.45745,1.97283,3.49891,0.0002576,0.0002576,0.0002576
46,1633.44,1.23436,1.49076,1.69956,0.61689,0.58576,0.40779,0.15099,2.37881,2.12363,3.39284,0.000218,0.000218,0.000218
47,1667.7,1.18046,1.39142,1.71676,0.61231,0.59091,0.4262,0.15072,2.3991,2.0503,3.42563,0.0001784,0.0001784,0.0001784
48,1702.28,1.113,1.32614,1.62204,0.59037,0.59091,0.43783,0.16851,2.38941,1.96838,3.44551,0.0001388,0.0001388,0.0001388
49,1736.53,1.18972,1.35037,1.71142,0.59018,0.59091,0.42767,0.16986,2.37641,1.94834,3.4581,9.92e-05,9.92e-05,9.92e-05
50,1771.52,1.12678,1.34982,1.65979,0.62932,0.63636,0.47578,0.17098,2.38353,1.89911,3.489,5.96e-05,5.96e-05,5.96e-05
